spot_id,sector_id,ref_type,ref_id,building_id,level_id,spot_name,spot_type,x,y,z,status
SP-000167,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X17Y05,equipment_point,16.0,146.0,,active
SP-000168,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X09Y17,equipment_point,64.0,73.0,,active
SP-000169,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X17Y13,equipment_point,47.0,144.0,,active
SP-000170,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X04Y17_망실,equipment_point,64.0,20.0,,active
SP-000171,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X03Y07,equipment_point,25.0,19.0,,active
SP-000172,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X04Y03,equipment_point,9.0,29.0,,active
SP-000173,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X09Y03,equipment_point,9.0,72.0,,active
SP-000174,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X12Y08,equipment_point,28.0,107.0,,active
SP-000175,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X10Y23,equipment_point,87.0,75.0,,active
SP-000176,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X16Y17,equipment_point,64.0,141.0,,active
SP-000177,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X13Y06,equipment_point,20.0,112.0,,active
SP-000178,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X16Y23,equipment_point,87.0,141.0,,active
SP-000180,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X16Y08,equipment_point,28.0,140.0,,active
SP-000181,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X04Y11,equipment_point,39.0,21.0,,active
SP-000183,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_TB17_밀폐,equipment_point,32.0,106.0,,active
SP-000260,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X14Y06_TB02_밀폐,equipment_point,20.0,123.0,,active
SP-000261,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_X10Y13_TB08_밀폐,equipment_point,45.0,93.0,,active
SP-000303,SEC-00022,level,LVL-00022-001-002,BLD-00022-001,LVL-00022-001-002,wwt_B1F_TB02_밀폐2,equipment_point,23.0,26.0,,active
SP-000152,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X09Y24,equipment_point,93.0,74.0,,active
SP-000153,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X03Y22,equipment_point,90.0,16.0,,active
SP-000154,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X03Y08,equipment_point,28.0,18.0,,active
SP-000155,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X10Y04,equipment_point,13.0,79.0,,active
SP-000156,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X03Y18,equipment_point,68.0,18.0,,active
SP-000157,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X13Y07,equipment_point,25.0,111.0,,active
SP-000158,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X10Y09,equipment_point,31.0,85.0,,active
SP-000159,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X03Y13,equipment_point,49.0,11.0,,active
SP-000160,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X10Y18,equipment_point,68.0,83.0,,active
SP-000161,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X14Y23,equipment_point,88.0,121.0,,active
SP-000162,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X14Y16,equipment_point,60.0,120.0,,active
SP-000163,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X14Y05,equipment_point,16.0,121.0,,active
SP-000164,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X14Y18,equipment_point,68.0,120.0,,active
SP-000165,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X09Y13,equipment_point,48.0,75.0,,active
SP-000166,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_1F_X02Y03,equipment_point,9.0,9.0,,active
SP-000179,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_호이스트_1-2,equipment_point,,,,active
SP-000182,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_호이스트_1-0,equipment_point,84.0,11.0,,active
SP-000184,SEC-00022,level,LVL-00022-001-003,BLD-00022-001,LVL-00022-001-003,wwt_호이스트_1-1,equipment_point,27.0,80.0,,active
SP-000185,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X24Y06,equipment_point,276.0,54.0,,active
SP-000186,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X28Y12,equipment_point,323.0,143.0,,active
SP-000187,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X24Y12,equipment_point,274.0,141.0,,active
SP-000188,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X29Y09,equipment_point,329.0,98.0,,active
SP-000189,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X19Y06,equipment_point,216.0,55.0,,active
SP-000191,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X26Y11,equipment_point,299.0,109.0,,active
SP-000192,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X23Y09,equipment_point,264.0,96.0,,active
SP-000193,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X20Y12,equipment_point,228.0,143.0,,active
SP-000194,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X28Y06,equipment_point,323.0,54.0,,active
SP-000195,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X20Y09,equipment_point,229.0,97.0,,active
SP-000213,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X16Y15_휴게실_F03_1층2번,equipment_point,180.0,171.0,,active
SP-000234,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X28Y07_휴게실_F02_1층1번,equipment_point,317.0,68.0,,active
SP-000235,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X14Y09,equipment_point,157.0,99.0,,active
SP-000238,SEC-00022,level,LVL-00022-002-004,BLD-00022-002,LVL-00022-002-004,fab_1F_X27Y06_휴게실_F02_1층4번,equipment_point,316.0,54.0,,active
SP-000134,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_호이스트_1-2,equipment_point,675.0,793.0,,active
SP-000197,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X13Y09,equipment_point,142.0,79.0,,active
SP-000199,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X05Y09,equipment_point,48.0,79.0,,active
SP-000202,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X13Y07,equipment_point,142.0,60.0,,active
SP-000203,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X08Y09,equipment_point,83.0,79.0,,active
SP-000204,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X16Y06,equipment_point,178.0,51.0,,active
SP-000205,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X03Y07,equipment_point,24.0,61.0,,active
SP-000206,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X17Y09,equipment_point,190.0,78.0,,active
SP-000208,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X21Y09,equipment_point,237.0,78.0,,active
SP-000209,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X20Y06,equipment_point,228.0,52.0,,active
SP-000211,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_1F_X09Y06,equipment_point,95.0,52.0,,active
SP-000253,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_호이스트_1-0,equipment_point,,,,active
SP-000254,SEC-00022,level,LVL-00022-003-005,BLD-00022-003,LVL-00022-003-005,cub_호이스트_1-1,equipment_point,,,,active
SP-000198,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X02Y05,equipment_point,15.0,39.0,,active
SP-000200,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X01Y04,equipment_point,3.0,27.0,,active
SP-000201,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X03Y04_망실,equipment_point,26.0,27.0,,active
SP-000207,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X06Y05,equipment_point,61.0,39.0,,active
SP-000210,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X08Y04,equipment_point,85.0,28.0,,active
SP-000214,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X13Y04,equipment_point,143.0,28.0,,active
SP-000215,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X10Y09_망실,equipment_point,109.0,79.0,,active
SP-000216,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X07Y09_망실,equipment_point,72.0,38.0,,active
SP-000217,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X0705,equipment_point,76.0,38.0,,active
SP-000218,SEC-00022,level,LVL-00022-003-006,BLD-00022-003,LVL-00022-003-006,cub_B1F_X07Y05_망실,equipment_point,73.0,79.0,,active
SP-000262,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000272,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000273,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000274,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000275,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000276,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000277,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000278,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000279,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000280,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000282,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000283,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000284,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000285,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000286,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000287,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000288,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000289,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000290,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000291,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000292,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000293,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000294,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000295,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000296,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000297,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000298,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000299,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000300,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000301,SEC-00022,level,LVL-00022-002-007,BLD-00022-002,LVL-00022-002-007,Ready,equipment_point,,,,active
SP-000220,SEC-00022,level,LVL-00022-004-008,BLD-00022-004,LVL-00022-004-008,upw_1F_X11Y11_입구,equipment_point,14.0,286.0,,active
SP-000219,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X14Y21,equipment_point,80.0,119.0,,active
SP-000221,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X11Y13_휴게실,equipment_point,49.0,94.0,,active
SP-000222,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X09Y13,equipment_point,47.0,76.0,,active
SP-000223,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X02Y06,equipment_point,24.0,12.0,,active
SP-000224,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X10Y18,equipment_point,68.0,80.0,,active
SP-000263,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X03Y18,equipment_point,68.0,20.0,,active
SP-000264,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X10Y03,equipment_point,9.0,79.0,,active
SP-000265,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X14Y12,equipment_point,44.0,119.0,,active
SP-000266,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X10Y23,equipment_point,88.0,82.0,,active
SP-000267,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X13Y07,equipment_point,25.0,108.0,,active
SP-000268,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X03Y13,equipment_point,48.0,16.0,,active
SP-000269,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X12Y18,equipment_point,67.0,99.0,,active
SP-000270,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X10Y08,equipment_point,32.0,81.0,,active
SP-000271,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X03Y08,equipment_point,32.0,21.0,,active
SP-000281,SEC-00022,level,LVL-00022-001-010,BLD-00022-001,LVL-00022-001-010,wwt_2F_X01Y20,equipment_point,80.0,3.0,,active
SP-000117,SEC-00022,sector,SEC-00022,,,배처_플랜트_사무실입구_컨테이너,equipment_point,251.0,347.0,,active
SP-000118,SEC-00022,sector,SEC-00022,,,본진_후문_보안통제실_컨테이너,equipment_point,390.0,422.0,,active
SP-000119,SEC-00022,sector,SEC-00022,,,4Gate_2_초소,equipment_point,92.0,67.0,,active
SP-000120,SEC-00022,sector,SEC-00022,,,Ready,equipment_point,,,,active
SP-000121,SEC-00022,sector,SEC-00022,,,1Gate_1,equipment_point,555.0,1120.0,,active
SP-000122,SEC-00022,sector,SEC-00022,,,게이트_4번_입구_언덕_철거,equipment_point,,,,active
SP-000123,SEC-00022,sector,SEC-00022,,,타각기_흡연실_옆_단상,equipment_point,695.0,526.0,,active
SP-000124,SEC-00022,sector,SEC-00022,,,정수장_입구,equipment_point,658.0,1031.0,,active
SP-000125,SEC-00022,sector,SEC-00022,,,Fab_타워크레인_8호기,equipment_point,541.0,803.0,,active
SP-000127,SEC-00022,sector,SEC-00022,,,1Gate_3_속도제한_간판,equipment_point,538.0,977.0,,active
SP-000129,SEC-00022,sector,SEC-00022,,,전진_왼쪽 계단,equipment_point,776.0,772.0,,active
SP-000130,SEC-00022,sector,SEC-00022,,,전진_중앙계단,equipment_point,746.0,788.0,,active
SP-000131,SEC-00022,sector,SEC-00022,,,전진_보호장구보관대,equipment_point,773.0,743.0,,active
SP-000132,SEC-00022,sector,SEC-00022,,,본진_타각기_출구_4번,equipment_point,643.0,530.0,,active
SP-000133,SEC-00022,sector,SEC-00022,,,본진_타각기_출구_2번,equipment_point,618.0,530.0,,active
SP-000135,SEC-00022,sector,SEC-00022,,,전진_화장실,equipment_point,776.0,843.0,,active
SP-000136,SEC-00022,sector,SEC-00022,,,전진_흡연장,equipment_point,802.0,878.0,,active
SP-000138,SEC-00022,sector,SEC-00022,,,Fab_타워크레인_7호기,equipment_point,541.0,883.0,,active
SP-000139,SEC-00022,sector,SEC-00022,,,4Gate_3,equipment_point,250.0,57.0,,active
SP-000140,SEC-00022,sector,SEC-00022,,,전진_중앙계단 2층,equipment_point,745.0,810.0,,active
SP-000141,SEC-00022,sector,SEC-00022,,,전진_왼쪽계단 2층,equipment_point,782.0,765.0,,active
SP-000142,SEC-00022,sector,SEC-00022,,,전진에서_본진_가는_통로_입구,equipment_point,695.0,708.0,,active
SP-000143,SEC-00022,sector,SEC-00022,,,4Gate_1,equipment_point,41.0,109.0,,active
SP-000144,SEC-00022,sector,SEC-00022,,,전진_진입_삼거리 _망실,equipment_point,,,,active
SP-000145,SEC-00022,sector,SEC-00022,,,1Gate_2,equipment_point,531.0,1068.0,,active
SP-000146,SEC-00022,sector,SEC-00022,,,주차장_입구,equipment_point,587.0,393.0,,active
SP-000147,SEC-00022,sector,SEC-00022,,,Cub_앞_안내_입간판_망실,equipment_point,,,,active
SP-000148,SEC-00022,sector,SEC-00022,,,본진_타각기_출구_1번,equipment_point,605.0,530.0,,active
SP-000149,SEC-00022,sector,SEC-00022,,,본진_타각기_입구_4번,equipment_point,643.0,510.0,,active
SP-000190,SEC-00022,sector,SEC-00022,,,본진_B동_전면_휴게실_망실,equipment_point,,,,active
SP-000196,SEC-00022,sector,SEC-00022,,,전진_사무실과_WWT_사이_휴게실1,equipment_point,816.0,803.0,,active
SP-000212,SEC-00022,sector,SEC-00022,,,ut_서측_2번_출구_근처,equipment_point,,,,active
SP-000225,SEC-00022,sector,SEC-00022,,,전진_정수장_옆_휴게실1,equipment_point,690.0,1012.0,,active
SP-000226,SEC-00022,sector,SEC-00022,,,전진_사무실과_WWT_사이_TBM_연단,equipment_point,817.0,853.0,,active
SP-000227,SEC-00022,sector,SEC-00022,,,본진_타각기_입구_3번,equipment_point,631.0,510.0,,active
SP-000229,SEC-00022,sector,SEC-00022,,,전진_사무실과_WWT_사이_휴게실2,equipment_point,816.0,777.0,,active
SP-000230,SEC-00022,sector,SEC-00022,,,본진_B동_전면_건너_흡연장,equipment_point,504.0,556.0,,active
SP-000231,SEC-00022,sector,SEC-00022,,,본진_정문_건너편_남자휴게실,equipment_point,439.0,543.0,,active
SP-000232,SEC-00022,sector,SEC-00022,,,본진_타각기_출구_3번,equipment_point,631.0,530.0,,active
SP-000233,SEC-00022,sector,SEC-00022,,,본진_타각기_입구_2번,equipment_point,618.0,510.0,,active
SP-000236,SEC-00022,sector,SEC-00022,,,본진_정문_진입_타각기,equipment_point,412.0,516.0,,active
SP-000237,SEC-00022,sector,SEC-00022,,,전진_정수장_옆_휴게실2,equipment_point,699.0,1036.0,,active
SP-000239,SEC-00022,sector,SEC-00022,,,주차장_옆_BP사무실,equipment_point,686.0,376.0,,active
SP-000240,SEC-00022,sector,SEC-00022,,,본진_정문_진입_타각기,equipment_point,408.0,514.0,,active
SP-000241,SEC-00022,sector,SEC-00022,,,154kv_작업장입구,equipment_point,344.0,558.0,,active
SP-000242,SEC-00022,sector,SEC-00022,,,bl_3_FAB_2-4호기,equipment_point,145.0,706.0,,active
SP-000243,SEC-00022,sector,SEC-00022,,,Ready_bl_,equipment_point,,,,active
SP-000244,SEC-00022,sector,SEC-00022,,,Ready_bl_,equipment_point,,,,active
SP-000245,SEC-00022,sector,SEC-00022,,,bl_3_FAB_3-6호기,equipment_point,100.0,648.0,,active
SP-000246,SEC-00022,sector,SEC-00022,,,Ready_bl_,equipment_point,,,,active
SP-000247,SEC-00022,sector,SEC-00022,,,bl_3_FAB_3-1호기,equipment_point,148.0,635.0,,active
SP-000248,SEC-00022,sector,SEC-00022,,,bl_4_중앙 휴계실,equipment_point,882.0,587.0,,active
SP-000249,SEC-00022,sector,SEC-00022,,,bl_TK가시설_초입,equipment_point,46.0,414.0,,active
SP-000250,SEC-00022,sector,SEC-00022,,,Ready_bl_,equipment_point,,,,active
SP-000251,SEC-00022,sector,SEC-00022,,,bl_2_FAB_1-4호기,equipment_point,115.0,974.0,,active
SP-000252,SEC-00022,sector,SEC-00022,,,본진_통합관제실_입구,equipment_point,271.0,469.0,,active
SP-000255,SEC-00022,sector,SEC-00022,,,본진_B동_후면_타각기,equipment_point,531.0,421.0,,active
SP-000256,SEC-00022,sector,SEC-00022,,,본진_타각기_입구_1번,equipment_point,605.0,510.0,,active
SP-000257,SEC-00022,sector,SEC-00022,,,본진_타각기_앞_흡연실,equipment_point,670.0,535.0,,active
SP-000258,SEC-00022,sector,SEC-00022,,,본진_타각기_보호구_걸이대,equipment_point,570.0,522.0,,active
SP-000259,SEC-00022,sector,SEC-00022,,,본진_B동앞_보호구_걸이대 ,equipment_point,539.0,510.0,,active
